Category: All categories

Week,Amazon.com: (United States)
2017-10-01,73
2017-10-08,80
2017-10-15,81
2017-10-22,83
2017-10-29,73
2017-11-05,79
2017-11-12,81
2017-11-19,100
2017-11-26,91
2017-12-03,88
2017-12-10,91
2017-12-17,92
2017-12-24,91
2017-12-31,80
2018-01-07,76
2018-01-14,83
2018-01-21,75
2018-01-28,74
2018-02-04,72
2018-02-11,71
2018-02-18,70
2018-02-25,75
2018-03-04,73
2018-03-11,73
2018-03-18,70
2018-03-25,72
2018-04-01,72
2018-04-08,74
2018-04-15,77
2018-04-22,73
2018-04-29,75
2018-05-06,69
2018-05-13,72
2018-05-20,73
2018-05-27,74
2018-06-03,77
2018-06-10,78
2018-06-17,82
2018-06-24,81
2018-07-01,81
2018-07-08,92
2018-07-15,98
2018-07-22,84
2018-07-29,91
2018-08-05,86
2018-08-12,88
2018-08-19,83
2018-08-26,76
2018-09-02,78
2018-09-09,81
2018-09-16,81
2018-09-23,90
