Category: All categories

Week,Amazon.com: (United States)
2017-10-01,40
2017-10-08,48
2017-10-15,64
2017-10-22,65
2017-10-29,48
2017-11-05,54
2017-11-12,51
2017-11-19,59
2017-11-26,59
2017-12-03,42
2017-12-10,45
2017-12-17,49
2017-12-24,46
2017-12-31,44
2018-01-07,44
2018-01-14,61
2018-01-21,50
2018-01-28,62
2018-02-04,45
2018-02-11,45
2018-02-18,38
2018-02-25,61
2018-03-04,43
2018-03-11,44
2018-03-18,48
2018-03-25,53
2018-04-01,67
2018-04-08,42
2018-04-15,42
2018-04-22,51
2018-04-29,56
2018-05-06,42
2018-05-13,48
2018-05-20,42
2018-05-27,38
2018-06-03,38
2018-06-10,41
2018-06-17,43
2018-06-24,43
2018-07-01,40
2018-07-08,46
2018-07-15,100
2018-07-22,53
2018-07-29,45
2018-08-05,41
2018-08-12,42
2018-08-19,36
2018-08-26,42
2018-09-02,42
2018-09-09,41
2018-09-16,51
2018-09-23,37
