Category: All categories

Week,Amazon.com: (United States)
2017-10-01,79
2017-10-08,82
2017-10-15,83
2017-10-22,83
2017-10-29,82
2017-11-05,83
2017-11-12,87
2017-11-19,96
2017-11-26,100
2017-12-03,95
2017-12-10,98
2017-12-17,90
2017-12-24,95
2017-12-31,85
2018-01-07,87
2018-01-14,86
2018-01-21,87
2018-01-28,85
2018-02-04,84
2018-02-11,78
2018-02-18,82
2018-02-25,88
2018-03-04,86
2018-03-11,88
2018-03-18,85
2018-03-25,86
2018-04-01,85
2018-04-08,81
2018-04-15,84
2018-04-22,80
2018-04-29,82
2018-05-06,81
2018-05-13,82
2018-05-20,78
2018-05-27,84
2018-06-03,81
2018-06-10,85
2018-06-17,85
2018-06-24,87
2018-07-01,84
2018-07-08,83
2018-07-15,88
2018-07-22,85
2018-07-29,83
2018-08-05,83
2018-08-12,83
2018-08-19,81
2018-08-26,81
2018-09-02,81
2018-09-09,80
2018-09-16,84
2018-09-23,83
