Category: All categories

Week,Amazon.com: (United States)
2017-10-01,63
2017-10-08,65
2017-10-15,66
2017-10-22,68
2017-10-29,63
2017-11-05,68
2017-11-12,74
2017-11-19,94
2017-11-26,100
2017-12-03,89
2017-12-10,95
2017-12-17,93
2017-12-24,87
2017-12-31,74
2018-01-07,70
2018-01-14,72
2018-01-21,66
2018-01-28,66
2018-02-04,65
2018-02-11,61
2018-02-18,63
2018-02-25,67
2018-03-04,66
2018-03-11,65
2018-03-18,65
2018-03-25,65
2018-04-01,64
2018-04-08,60
2018-04-15,61
2018-04-22,63
2018-04-29,63
2018-05-06,64
2018-05-13,61
2018-05-20,61
2018-05-27,63
2018-06-03,63
2018-06-10,65
2018-06-17,62
2018-06-24,64
2018-07-01,64
2018-07-08,67
2018-07-15,91
2018-07-22,67
2018-07-29,66
2018-08-05,67
2018-08-12,68
2018-08-19,67
2018-08-26,65
2018-09-02,66
2018-09-09,62
2018-09-16,61
2018-09-23,64
