Category: All categories

Week,APPL: (United States)
2017-09-24,29
2017-10-01,39
2017-10-08,39
2017-10-15,48
2017-10-22,54
2017-10-29,19
2017-11-05,19
2017-11-12,57
2017-11-19,48
2017-11-26,85
2017-12-03,38
2017-12-10,59
2017-12-17,67
2017-12-24,57
2017-12-31,24
2018-01-07,41
2018-01-14,21
2018-01-21,20
2018-01-28,19
2018-02-04,20
2018-02-11,20
2018-02-18,31
2018-02-25,78
2018-03-04,40
2018-03-11,51
2018-03-18,41
2018-03-25,43
2018-04-01,33
2018-04-08,20
2018-04-15,30
2018-04-22,40
2018-04-29,100
2018-05-06,41
2018-05-13,41
2018-05-20,22
2018-05-27,36
2018-06-03,24
2018-06-10,64
2018-06-17,26
2018-06-24,28
2018-07-01,58
2018-07-08,0
2018-07-15,0
2018-07-22,27
2018-07-29,27
2018-08-05,54
2018-08-12,52
2018-08-19,25
2018-08-26,47
2018-09-02,23
2018-09-09,42
2018-09-16,70
