Category: All categories

Week,APPL: (United States)
2017-09-24,39
2017-10-01,25
2017-10-08,0
2017-10-15,27
2017-10-22,27
2017-10-29,26
2017-11-05,25
2017-11-12,26
2017-11-19,0
2017-11-26,0
2017-12-03,25
2017-12-10,26
2017-12-17,0
2017-12-24,0
2017-12-31,55
2018-01-07,52
2018-01-14,52
2018-01-21,25
2018-01-28,39
2018-02-04,25
2018-02-11,27
2018-02-18,28
2018-02-25,0
2018-03-04,0
2018-03-11,28
2018-03-18,28
2018-03-25,30
2018-04-01,0
2018-04-08,0
2018-04-15,28
2018-04-22,58
2018-04-29,30
2018-05-06,60
2018-05-13,30
2018-05-20,0
2018-05-27,34
2018-06-03,0
2018-06-10,0
2018-06-17,0
2018-06-24,49
2018-07-01,0
2018-07-08,33
2018-07-15,0
2018-07-22,100
2018-07-29,34
2018-08-05,67
2018-08-12,35
2018-08-19,0
2018-08-26,33
2018-09-02,31
2018-09-09,59
2018-09-16,0
