Category: All categories

Week,APPL: (United States)
2017-09-24,48
2017-10-01,0
2017-10-08,0
2017-10-15,0
2017-10-22,44
2017-10-29,0
2017-11-05,87
2017-11-12,0
2017-11-19,37
2017-11-26,0
2017-12-03,0
2017-12-10,37
2017-12-17,79
2017-12-24,86
2017-12-31,45
2018-01-07,0
2018-01-14,0
2018-01-21,47
2018-01-28,0
2018-02-04,0
2018-02-11,0
2018-02-18,0
2018-02-25,0
2018-03-04,45
2018-03-11,46
2018-03-18,0
2018-03-25,94
2018-04-01,49
2018-04-08,0
2018-04-15,0
2018-04-22,100
2018-04-29,50
2018-05-06,0
2018-05-13,51
2018-05-20,52
2018-05-27,0
2018-06-03,51
2018-06-10,0
2018-06-17,0
2018-06-24,52
2018-07-01,51
2018-07-08,48
2018-07-15,45
2018-07-22,0
2018-07-29,0
2018-08-05,45
2018-08-12,0
2018-08-19,0
2018-08-26,0
2018-09-02,0
2018-09-09,48
2018-09-16,0
