Category: All categories

Week,APPL: (United States)
2017-09-24,43
2017-10-01,36
2017-10-08,29
2017-10-15,39
2017-10-22,39
2017-10-29,60
2017-11-05,41
2017-11-12,39
2017-11-19,35
2017-11-26,38
2017-12-03,37
2017-12-10,33
2017-12-17,35
2017-12-24,41
2017-12-31,35
2018-01-07,35
2018-01-14,35
2018-01-21,37
2018-01-28,62
2018-02-04,57
2018-02-11,41
2018-02-18,33
2018-02-25,39
2018-03-04,35
2018-03-11,31
2018-03-18,32
2018-03-25,36
2018-04-01,35
2018-04-08,34
2018-04-15,34
2018-04-22,37
2018-04-29,70
2018-05-06,45
2018-05-13,36
2018-05-20,33
2018-05-27,32
2018-06-03,42
2018-06-10,31
2018-06-17,31
2018-06-24,27
2018-07-01,25
2018-07-08,30
2018-07-15,32
2018-07-22,34
2018-07-29,100
2018-08-05,38
2018-08-12,38
2018-08-19,36
2018-08-26,44
2018-09-02,37
2018-09-09,67
2018-09-16,47
