Category: All categories

Week,Blizzard Entertainment: (United States)
2017-10-01,46
2017-10-08,46
2017-10-15,40
2017-10-22,41
2017-10-29,66
2017-11-05,76
2017-11-12,69
2017-11-19,39
2017-11-26,60
2017-12-03,87
2017-12-10,60
2017-12-17,74
2017-12-24,37
2017-12-31,95
2018-01-07,88
2018-01-14,82
2018-01-21,100
2018-01-28,59
2018-02-04,79
2018-02-11,46
2018-02-18,51
2018-02-25,53
2018-03-04,89
2018-03-11,87
2018-03-18,56
2018-03-25,46
2018-04-01,54
2018-04-08,66
2018-04-15,64
2018-04-22,50
2018-04-29,45
2018-05-06,41
2018-05-13,63
2018-05-20,48
2018-05-27,37
2018-06-03,40
2018-06-10,9
2018-06-17,34
2018-06-24,29
2018-07-01,31
2018-07-08,19
2018-07-15,26
2018-07-22,22
2018-07-29,23
2018-08-05,35
2018-08-12,34
2018-08-19,41
2018-08-26,33
2018-09-02,27
2018-09-09,38
2018-09-16,30
2018-09-23,38
