Category: All categories

Week,Blizzard Entertainment: (United States)
2017-10-01,44
2017-10-08,37
2017-10-15,16
2017-10-22,48
2017-10-29,45
2017-11-05,45
2017-11-12,31
2017-11-19,18
2017-11-26,15
2017-12-03,15
2017-12-10,31
2017-12-17,17
2017-12-24,30
2017-12-31,65
2018-01-07,53
2018-01-14,38
2018-01-21,15
2018-01-28,46
2018-02-04,37
2018-02-11,16
2018-02-18,25
2018-02-25,25
2018-03-04,34
2018-03-11,16
2018-03-18,16
2018-03-25,18
2018-04-01,26
2018-04-08,42
2018-04-15,33
2018-04-22,17
2018-04-29,18
2018-05-06,18
2018-05-13,54
2018-05-20,29
2018-05-27,40
2018-06-03,19
2018-06-10,57
2018-06-17,0
2018-06-24,29
2018-07-01,20
2018-07-08,19
2018-07-15,0
2018-07-22,19
2018-07-29,60
2018-08-05,59
2018-08-12,20
2018-08-19,60
2018-08-26,39
2018-09-02,28
2018-09-09,0
2018-09-16,27
2018-09-23,100
