Category: All categories

Week,Blizzard Entertainment: (United States)
2017-10-01,43
2017-10-08,14
2017-10-15,22
2017-10-22,27
2017-10-29,15
2017-11-05,0
2017-11-12,13
2017-11-19,46
2017-11-26,23
2017-12-03,36
2017-12-10,29
2017-12-17,12
2017-12-24,27
2017-12-31,14
2018-01-07,14
2018-01-14,22
2018-01-21,29
2018-01-28,29
2018-02-04,15
2018-02-11,15
2018-02-18,21
2018-02-25,14
2018-03-04,14
2018-03-11,29
2018-03-18,14
2018-03-25,15
2018-04-01,15
2018-04-08,30
2018-04-15,23
2018-04-22,0
2018-04-29,0
2018-05-06,15
2018-05-13,48
2018-05-20,16
2018-05-27,0
2018-06-03,16
2018-06-10,23
2018-06-17,16
2018-06-24,16
2018-07-01,49
2018-07-08,15
2018-07-15,28
2018-07-22,14
2018-07-29,56
2018-08-05,0
2018-08-12,0
2018-08-19,29
2018-08-26,15
2018-09-02,15
2018-09-09,0
2018-09-16,15
2018-09-23,100
