Category: All categories

Week,Blizzard Entertainment: (United States)
2017-10-01,53
2017-10-08,64
2017-10-15,63
2017-10-22,75
2017-10-29,94
2017-11-05,88
2017-11-12,82
2017-11-19,100
2017-11-26,75
2017-12-03,79
2017-12-10,73
2017-12-17,71
2017-12-24,79
2017-12-31,95
2018-01-07,71
2018-01-14,74
2018-01-21,73
2018-01-28,75
2018-02-04,59
2018-02-11,51
2018-02-18,52
2018-02-25,57
2018-03-04,55
2018-03-11,53
2018-03-18,50
2018-03-25,45
2018-04-01,54
2018-04-08,60
2018-04-15,53
2018-04-22,50
2018-04-29,48
2018-05-06,55
2018-05-13,52
2018-05-20,56
2018-05-27,49
2018-06-03,53
2018-06-10,56
2018-06-17,51
2018-06-24,51
2018-07-01,48
2018-07-08,62
2018-07-15,84
2018-07-22,63
2018-07-29,70
2018-08-05,69
2018-08-12,89
2018-08-19,69
2018-08-26,66
2018-09-02,62
2018-09-09,65
2018-09-16,57
2018-09-23,48
