Category: All categories

Week,Comcast: (United States)
2017-09-10,44
2017-09-17,49
2017-09-24,40
2017-10-01,37
2017-10-08,36
2017-10-15,40
2017-10-22,32
2017-10-29,42
2017-11-05,44
2017-11-12,47
2017-11-19,48
2017-11-26,38
2017-12-03,43
2017-12-10,57
2017-12-17,100
2017-12-24,51
2017-12-31,48
2018-01-07,41
2018-01-14,47
2018-01-21,34
2018-01-28,46
2018-02-04,27
2018-02-11,37
2018-02-18,36
2018-02-25,42
2018-03-04,35
2018-03-11,38
2018-03-18,44
2018-03-25,32
2018-04-01,41
2018-04-08,43
2018-04-15,34
2018-04-22,40
2018-04-29,26
2018-05-06,36
2018-05-13,41
2018-05-20,52
2018-05-27,42
2018-06-03,43
2018-06-10,41
2018-06-17,50
2018-06-24,69
2018-07-01,38
2018-07-08,48
2018-07-15,51
2018-07-22,48
2018-07-29,41
2018-08-05,37
2018-08-12,48
2018-08-19,52
2018-08-26,35
2018-09-02,47
