Category: All categories

Week,Comcast: (United States)
2017-09-10,25
2017-09-17,21
2017-09-24,14
2017-10-01,8
2017-10-08,23
2017-10-15,21
2017-10-22,28
2017-10-29,15
2017-11-05,55
2017-11-12,33
2017-11-19,26
2017-11-26,26
2017-12-03,26
2017-12-10,41
2017-12-17,39
2017-12-24,28
2017-12-31,24
2018-01-07,21
2018-01-14,23
2018-01-21,19
2018-01-28,17
2018-02-04,25
2018-02-11,23
2018-02-18,18
2018-02-25,35
2018-03-04,22
2018-03-11,17
2018-03-18,11
2018-03-25,15
2018-04-01,14
2018-04-08,19
2018-04-15,22
2018-04-22,23
2018-04-29,20
2018-05-06,27
2018-05-13,30
2018-05-20,30
2018-05-27,21
2018-06-03,56
2018-06-10,63
2018-06-17,36
2018-06-24,100
2018-07-01,32
2018-07-08,31
2018-07-15,39
2018-07-22,36
2018-07-29,34
2018-08-05,23
2018-08-12,18
2018-08-19,22
2018-08-26,18
2018-09-02,14
