Category: All categories

Week,Comcast: (United States)
2017-09-10,100
2017-09-17,20
2017-09-24,60
2017-10-01,15
2017-10-08,59
2017-10-15,29
2017-10-22,42
2017-10-29,41
2017-11-05,41
2017-11-12,59
2017-11-19,51
2017-11-26,43
2017-12-03,53
2017-12-10,40
2017-12-17,46
2017-12-24,69
2017-12-31,44
2018-01-07,59
2018-01-14,49
2018-01-21,30
2018-01-28,45
2018-02-04,65
2018-02-11,71
2018-02-18,38
2018-02-25,37
2018-03-04,33
2018-03-11,67
2018-03-18,34
2018-03-25,45
2018-04-01,57
2018-04-08,73
2018-04-15,21
2018-04-22,48
2018-04-29,52
2018-05-06,36
2018-05-13,60
2018-05-20,67
2018-05-27,38
2018-06-03,32
2018-06-10,51
2018-06-17,33
2018-06-24,44
2018-07-01,71
2018-07-08,30
2018-07-15,52
2018-07-22,34
2018-07-29,57
2018-08-05,66
2018-08-12,48
2018-08-19,61
2018-08-26,61
2018-09-02,35
