Category: All categories

Week,Comcast: (United States)
2017-09-10,91
2017-09-17,82
2017-09-24,79
2017-10-01,77
2017-10-08,76
2017-10-15,72
2017-10-22,71
2017-10-29,74
2017-11-05,82
2017-11-12,71
2017-11-19,72
2017-11-26,75
2017-12-03,71
2017-12-10,75
2017-12-17,76
2017-12-24,77
2017-12-31,80
2018-01-07,74
2018-01-14,70
2018-01-21,67
2018-01-28,70
2018-02-04,68
2018-02-11,67
2018-02-18,64
2018-02-25,71
2018-03-04,69
2018-03-11,68
2018-03-18,64
2018-03-25,66
2018-04-01,70
2018-04-08,64
2018-04-15,63
2018-04-22,62
2018-04-29,66
2018-05-06,64
2018-05-13,65
2018-05-20,65
2018-05-27,71
2018-06-03,82
2018-06-10,74
2018-06-17,70
2018-06-24,100
2018-07-01,75
2018-07-08,72
2018-07-15,72
2018-07-22,72
2018-07-29,76
2018-08-05,72
2018-08-12,70
2018-08-19,69
2018-08-26,69
2018-09-02,68
