Category: All categories

Week,Delta Air Lines: (United States)
2017-10-01,73
2017-10-08,84
2017-10-15,84
2017-10-22,78
2017-10-29,80
2017-11-05,87
2017-11-12,81
2017-11-19,60
2017-11-26,72
2017-12-03,74
2017-12-10,77
2017-12-17,79
2017-12-24,85
2017-12-31,98
2018-01-07,93
2018-01-14,75
2018-01-21,87
2018-01-28,81
2018-02-04,74
2018-02-11,77
2018-02-18,80
2018-02-25,88
2018-03-04,84
2018-03-11,76
2018-03-18,97
2018-03-25,87
2018-04-01,82
2018-04-08,87
2018-04-15,78
2018-04-22,90
2018-04-29,86
2018-05-06,87
2018-05-13,89
2018-05-20,88
2018-05-27,92
2018-06-03,87
2018-06-10,77
2018-06-17,90
2018-06-24,91
2018-07-01,93
2018-07-08,87
2018-07-15,97
2018-07-22,90
2018-07-29,99
2018-08-05,100
2018-08-12,92
2018-08-19,72
2018-08-26,99
2018-09-02,84
2018-09-09,85
2018-09-16,86
2018-09-23,87
