Category: All categories

Week,Delta Air Lines: (United States)
2017-10-01,24
2017-10-08,39
2017-10-15,25
2017-10-22,30
2017-10-29,40
2017-11-05,36
2017-11-12,30
2017-11-19,18
2017-11-26,22
2017-12-03,31
2017-12-10,34
2017-12-17,35
2017-12-24,36
2017-12-31,46
2018-01-07,33
2018-01-14,33
2018-01-21,31
2018-01-28,29
2018-02-04,21
2018-02-11,33
2018-02-18,30
2018-02-25,100
2018-03-04,43
2018-03-11,35
2018-03-18,25
2018-03-25,30
2018-04-01,45
2018-04-08,33
2018-04-15,38
2018-04-22,41
2018-04-29,25
2018-05-06,36
2018-05-13,26
2018-05-20,26
2018-05-27,46
2018-06-03,46
2018-06-10,30
2018-06-17,39
2018-06-24,43
2018-07-01,30
2018-07-08,43
2018-07-15,21
2018-07-22,39
2018-07-29,40
2018-08-05,20
2018-08-12,42
2018-08-19,26
2018-08-26,26
2018-09-02,29
2018-09-09,29
2018-09-16,22
2018-09-23,18
