Category: All categories

Week,Delta Air Lines: (United States)
2017-10-01,71
2017-10-08,83
2017-10-15,80
2017-10-22,92
2017-10-29,78
2017-11-05,92
2017-11-12,55
2017-11-19,52
2017-11-26,62
2017-12-03,73
2017-12-10,43
2017-12-17,67
2017-12-24,67
2017-12-31,68
2018-01-07,77
2018-01-14,94
2018-01-21,53
2018-01-28,55
2018-02-04,61
2018-02-11,60
2018-02-18,100
2018-02-25,85
2018-03-04,74
2018-03-11,83
2018-03-18,66
2018-03-25,68
2018-04-01,85
2018-04-08,56
2018-04-15,75
2018-04-22,57
2018-04-29,54
2018-05-06,62
2018-05-13,97
2018-05-20,78
2018-05-27,64
2018-06-03,71
2018-06-10,50
2018-06-17,77
2018-06-24,100
2018-07-01,100
2018-07-08,85
2018-07-15,77
2018-07-22,72
2018-07-29,80
2018-08-05,71
2018-08-12,84
2018-08-19,99
2018-08-26,92
2018-09-02,75
2018-09-09,74
2018-09-16,89
2018-09-23,40
