Category: All categories

Week,Delta Air Lines: (United States)
2017-10-01,75
2017-10-08,82
2017-10-15,78
2017-10-22,77
2017-10-29,71
2017-11-05,75
2017-11-12,74
2017-11-19,69
2017-11-26,73
2017-12-03,74
2017-12-10,74
2017-12-17,87
2017-12-24,81
2017-12-31,93
2018-01-07,89
2018-01-14,86
2018-01-21,76
2018-01-28,76
2018-02-04,79
2018-02-11,79
2018-02-18,83
2018-02-25,99
2018-03-04,91
2018-03-11,87
2018-03-18,91
2018-03-25,81
2018-04-01,84
2018-04-08,85
2018-04-15,88
2018-04-22,83
2018-04-29,79
2018-05-06,82
2018-05-13,83
2018-05-20,83
2018-05-27,86
2018-06-03,86
2018-06-10,88
2018-06-17,89
2018-06-24,94
2018-07-01,80
2018-07-08,91
2018-07-15,96
2018-07-22,100
2018-07-29,99
2018-08-05,94
2018-08-12,94
2018-08-19,85
2018-08-26,82
2018-09-02,79
2018-09-09,88
2018-09-16,83
2018-09-23,80
