Category: All categories

Week,Microsoft Corporation: (United States)
2017-09-24,97
2017-10-01,91
2017-10-08,87
2017-10-15,92
2017-10-22,84
2017-10-29,90
2017-11-05,100
2017-11-12,99
2017-11-19,78
2017-11-26,100
2017-12-03,94
2017-12-10,93
2017-12-17,65
2017-12-24,62
2017-12-31,61
2018-01-07,81
2018-01-14,83
2018-01-21,83
2018-01-28,83
2018-02-04,85
2018-02-11,91
2018-02-18,77
2018-02-25,91
2018-03-04,95
2018-03-11,82
2018-03-18,83
2018-03-25,83
2018-04-01,87
2018-04-08,86
2018-04-15,88
2018-04-22,90
2018-04-29,85
2018-05-06,87
2018-05-13,77
2018-05-20,76
2018-05-27,78
2018-06-03,78
2018-06-10,80
2018-06-17,76
2018-06-24,72
2018-07-01,70
2018-07-08,79
2018-07-15,78
2018-07-22,77
2018-07-29,92
2018-08-05,88
2018-08-12,87
2018-08-19,95
2018-08-26,89
2018-09-02,91
2018-09-09,88
2018-09-16,97
