Category: All categories

Week,Microsoft Corporation: (United States)
2017-09-24,60
2017-10-01,54
2017-10-08,51
2017-10-15,67
2017-10-22,62
2017-10-29,61
2017-11-05,58
2017-11-12,43
2017-11-19,44
2017-11-26,61
2017-12-03,46
2017-12-10,68
2017-12-17,49
2017-12-24,53
2017-12-31,50
2018-01-07,47
2018-01-14,38
2018-01-21,58
2018-01-28,81
2018-02-04,56
2018-02-11,51
2018-02-18,57
2018-02-25,47
2018-03-04,46
2018-03-11,63
2018-03-18,67
2018-03-25,67
2018-04-01,100
2018-04-08,71
2018-04-15,69
2018-04-22,88
2018-04-29,72
2018-05-06,80
2018-05-13,70
2018-05-20,54
2018-05-27,53
2018-06-03,93
2018-06-10,91
2018-06-17,51
2018-06-24,64
2018-07-01,58
2018-07-08,96
2018-07-15,86
2018-07-22,58
2018-07-29,65
2018-08-05,49
2018-08-12,72
2018-08-19,63
2018-08-26,62
2018-09-02,50
2018-09-09,50
2018-09-16,50
