Category: All categories

Week,Microsoft Corporation: (United States)
2017-09-24,56
2017-10-01,40
2017-10-08,49
2017-10-15,47
2017-10-22,33
2017-10-29,53
2017-11-05,56
2017-11-12,69
2017-11-19,100
2017-11-26,85
2017-12-03,55
2017-12-10,59
2017-12-17,55
2017-12-24,56
2017-12-31,60
2018-01-07,58
2018-01-14,46
2018-01-21,39
2018-01-28,72
2018-02-04,58
2018-02-11,55
2018-02-18,46
2018-02-25,45
2018-03-04,44
2018-03-11,55
2018-03-18,48
2018-03-25,49
2018-04-01,49
2018-04-08,42
2018-04-15,63
2018-04-22,37
2018-04-29,53
2018-05-06,40
2018-05-13,61
2018-05-20,41
2018-05-27,47
2018-06-03,55
2018-06-10,59
2018-06-17,45
2018-06-24,52
2018-07-01,62
2018-07-08,48
2018-07-15,59
2018-07-22,57
2018-07-29,58
2018-08-05,75
2018-08-12,56
2018-08-19,62
2018-08-26,62
2018-09-02,62
2018-09-09,52
2018-09-16,56
