Category: All categories

Week,Microsoft Corporation: (United States)
2017-09-24,96
2017-10-01,91
2017-10-08,90
2017-10-15,90
2017-10-22,90
2017-10-29,91
2017-11-05,92
2017-11-12,93
2017-11-19,89
2017-11-26,99
2017-12-03,96
2017-12-10,92
2017-12-17,84
2017-12-24,81
2017-12-31,84
2018-01-07,93
2018-01-14,90
2018-01-21,95
2018-01-28,95
2018-02-04,94
2018-02-11,90
2018-02-18,89
2018-02-25,94
2018-03-04,88
2018-03-11,88
2018-03-18,92
2018-03-25,90
2018-04-01,88
2018-04-08,90
2018-04-15,87
2018-04-22,89
2018-04-29,85
2018-05-06,87
2018-05-13,87
2018-05-20,85
2018-05-27,83
2018-06-03,93
2018-06-10,92
2018-06-17,85
2018-06-24,82
2018-07-01,72
2018-07-08,86
2018-07-15,86
2018-07-22,85
2018-07-29,89
2018-08-05,90
2018-08-12,95
2018-08-19,95
2018-08-26,100
2018-09-02,97
2018-09-09,96
2018-09-16,100
