Category: All categories

Week,Netflix: (United States)
2017-09-10,49
2017-09-17,43
2017-09-24,85
2017-10-01,56
2017-10-08,100
2017-10-15,85
2017-10-22,69
2017-10-29,59
2017-11-05,58
2017-11-12,42
2017-11-19,55
2017-11-26,67
2017-12-03,79
2017-12-10,69
2017-12-17,69
2017-12-24,99
2017-12-31,89
2018-01-07,46
2018-01-14,87
2018-01-21,63
2018-01-28,86
2018-02-04,62
2018-02-11,76
2018-02-18,67
2018-02-25,67
2018-03-04,78
2018-03-11,59
2018-03-18,69
2018-03-25,74
2018-04-01,81
2018-04-08,42
2018-04-15,63
2018-04-22,72
2018-04-29,58
2018-05-06,57
2018-05-13,74
2018-05-20,47
2018-05-27,90
2018-06-03,57
2018-06-10,63
2018-06-17,67
2018-06-24,67
2018-07-01,67
2018-07-08,69
2018-07-15,58
2018-07-22,61
2018-07-29,46
2018-08-05,63
2018-08-12,49
2018-08-19,47
2018-08-26,39
2018-09-02,40
