Category: All categories

Week,Netflix: (United States)
2017-09-10,63
2017-09-17,63
2017-09-24,51
2017-10-01,55
2017-10-08,61
2017-10-15,64
2017-10-22,73
2017-10-29,64
2017-11-05,58
2017-11-12,58
2017-11-19,78
2017-11-26,67
2017-12-03,68
2017-12-10,66
2017-12-17,66
2017-12-24,81
2017-12-31,85
2018-01-07,75
2018-01-14,75
2018-01-21,66
2018-01-28,65
2018-02-04,66
2018-02-11,61
2018-02-18,64
2018-02-25,62
2018-03-04,64
2018-03-11,73
2018-03-18,76
2018-03-25,73
2018-04-01,74
2018-04-08,70
2018-04-15,68
2018-04-22,70
2018-04-29,63
2018-05-06,64
2018-05-13,65
2018-05-20,73
2018-05-27,66
2018-06-03,62
2018-06-10,69
2018-06-17,62
2018-06-24,69
2018-07-01,66
2018-07-08,60
2018-07-15,67
2018-07-22,75
2018-07-29,71
2018-08-05,66
2018-08-12,90
2018-08-19,100
2018-08-26,82
2018-09-02,78
