Category: All categories

Week,Netflix: (United States)
2017-09-10,62
2017-09-17,64
2017-09-24,64
2017-10-01,66
2017-10-08,69
2017-10-15,67
2017-10-22,70
2017-10-29,70
2017-11-05,67
2017-11-12,67
2017-11-19,81
2017-11-26,68
2017-12-03,73
2017-12-10,72
2017-12-17,82
2017-12-24,100
2017-12-31,94
2018-01-07,80
2018-01-14,81
2018-01-21,76
2018-01-28,73
2018-02-04,71
2018-02-11,70
2018-02-18,73
2018-02-25,73
2018-03-04,74
2018-03-11,72
2018-03-18,72
2018-03-25,75
2018-04-01,75
2018-04-08,68
2018-04-15,70
2018-04-22,66
2018-04-29,66
2018-05-06,65
2018-05-13,73
2018-05-20,77
2018-05-27,78
2018-06-03,71
2018-06-10,74
2018-06-17,71
2018-06-24,71
2018-07-01,75
2018-07-08,69
2018-07-15,70
2018-07-22,74
2018-07-29,75
2018-08-05,71
2018-08-12,73
2018-08-19,72
2018-08-26,71
2018-09-02,69
