Category: All categories

Week,Netflix: (United States)
2017-09-10,69
2017-09-17,82
2017-09-24,73
2017-10-01,73
2017-10-08,72
2017-10-15,71
2017-10-22,76
2017-10-29,62
2017-11-05,64
2017-11-12,62
2017-11-19,72
2017-11-26,71
2017-12-03,76
2017-12-10,69
2017-12-17,75
2017-12-24,90
2017-12-31,98
2018-01-07,88
2018-01-14,87
2018-01-21,97
2018-01-28,89
2018-02-04,81
2018-02-11,75
2018-02-18,82
2018-02-25,86
2018-03-04,89
2018-03-11,86
2018-03-18,86
2018-03-25,85
2018-04-01,83
2018-04-08,79
2018-04-15,76
2018-04-22,77
2018-04-29,79
2018-05-06,78
2018-05-13,82
2018-05-20,83
2018-05-27,85
2018-06-03,79
2018-06-10,81
2018-06-17,76
2018-06-24,84
2018-07-01,82
2018-07-08,82
2018-07-15,93
2018-07-22,97
2018-07-29,88
2018-08-05,94
2018-08-12,96
2018-08-19,100
2018-08-26,89
2018-09-02,84
