Category: All categories

Week,Nvidia: (United States)
2017-09-10,34
2017-09-17,31
2017-09-24,45
2017-10-01,36
2017-10-08,40
2017-10-15,38
2017-10-22,35
2017-10-29,41
2017-11-05,57
2017-11-12,32
2017-11-19,24
2017-11-26,52
2017-12-03,42
2017-12-10,24
2017-12-17,30
2017-12-24,35
2017-12-31,29
2018-01-07,63
2018-01-14,44
2018-01-21,42
2018-01-28,40
2018-02-04,44
2018-02-11,43
2018-02-18,55
2018-02-25,26
2018-03-04,38
2018-03-11,26
2018-03-18,54
2018-03-25,100
2018-04-01,52
2018-04-08,34
2018-04-15,41
2018-04-22,46
2018-04-29,45
2018-05-06,76
2018-05-13,38
2018-05-20,36
2018-05-27,39
2018-06-03,33
2018-06-10,39
2018-06-17,25
2018-06-24,26
2018-07-01,21
2018-07-08,30
2018-07-15,48
2018-07-22,26
2018-07-29,35
2018-08-05,42
2018-08-12,88
2018-08-19,86
2018-08-26,45
2018-09-02,32
