Category: All categories

Week,Nvidia: (United States)
2017-09-10,42
2017-09-17,73
2017-09-24,67
2017-10-01,31
2017-10-08,55
2017-10-15,39
2017-10-22,45
2017-10-29,72
2017-11-05,59
2017-11-12,77
2017-11-19,85
2017-11-26,68
2017-12-03,63
2017-12-10,81
2017-12-17,72
2017-12-24,51
2017-12-31,36
2018-01-07,52
2018-01-14,73
2018-01-21,58
2018-01-28,100
2018-02-04,51
2018-02-11,88
2018-02-18,68
2018-02-25,49
2018-03-04,46
2018-03-11,64
2018-03-18,50
2018-03-25,27
2018-04-01,36
2018-04-08,53
2018-04-15,63
2018-04-22,39
2018-04-29,39
2018-05-06,58
2018-05-13,64
2018-05-20,51
2018-05-27,55
2018-06-03,46
2018-06-10,52
2018-06-17,41
2018-06-24,61
2018-07-01,70
2018-07-08,67
2018-07-15,55
2018-07-22,43
2018-07-29,48
2018-08-05,46
2018-08-12,26
2018-08-19,70
2018-08-26,33
2018-09-02,70
