Category: All categories

Week,Nvidia: (United States)
2017-09-10,46
2017-09-17,49
2017-09-24,49
2017-10-01,44
2017-10-08,52
2017-10-15,48
2017-10-22,53
2017-10-29,54
2017-11-05,63
2017-11-12,59
2017-11-19,64
2017-11-26,66
2017-12-03,67
2017-12-10,60
2017-12-17,61
2017-12-24,62
2017-12-31,60
2018-01-07,76
2018-01-14,62
2018-01-21,70
2018-01-28,66
2018-02-04,73
2018-02-11,63
2018-02-18,57
2018-02-25,58
2018-03-04,56
2018-03-11,55
2018-03-18,58
2018-03-25,74
2018-04-01,59
2018-04-08,51
2018-04-15,49
2018-04-22,48
2018-04-29,48
2018-05-06,65
2018-05-13,52
2018-05-20,52
2018-05-27,52
2018-06-03,54
2018-06-10,50
2018-06-17,49
2018-06-24,55
2018-07-01,47
2018-07-08,48
2018-07-15,59
2018-07-22,51
2018-07-29,52
2018-08-05,51
2018-08-12,74
2018-08-19,100
2018-08-26,58
2018-09-02,54
